DISTRICT #,DISTRICT NAME,SCHOOL #,SCHOOL NAME,DAYS PRESENT,DAYS ABSENT,TOTAL DAYS,% PRESENT,AVERAGE DAILY ATTENDANCE,AVERAGE DAILY MEMBERSHIP,SUMMER DAYS PRESENT ,SUMMER DAYS ABSENT ,TOTAL SUMMER DAYS ,% SUMMER DAYS PRESENT
53,POLK,1951,BERKLEY ELEMENTARY SCHOOL,"136,509","4,995","141,504",96.5%,758,786,0,0,0,
53,POLK,1961,DISCOVERY ACADEMY OF LAKE ALFRED,"162,436","10,184","172,620",94.1%,902,959,0,0,0,
53,POLK,1971,SLEEPY HILL MIDDLE SCHOOL,"176,441","9,643","186,084",94.8%,980,"1,034",153,17,170,90.0%
53,POLK,1981,DUNDEE RIDGE MIDDLE ACADEMY,"121,675","7,448","129,123",94.2%,676,717,0,0,0,
53,POLK,1991,LAKE REGION HIGH SCHOOL,"248,770","14,983","263,753",94.3%,"1,382","1,465","2,339",607,"2,946",79.4%
53,POLK,2001,BILL DUNCAN OPPORTUNITY CENTER,"7,330","3,023","10,353",70.8%,41,58,0,0,0,
53,POLK,7001,POLK VIRTUAL INSTRUCTION PROGRAM,"4,109",23,"4,132",99.4%,23,23,0,0,0,
53,POLK,7004,POLK VIRTUAL FRANCHISE,"1,152",219,"1,371",84.0%,6,8,0,0,0,
53,POLK,7023,POLK FULL TIME ESCHOOL,"39,436",251,"39,687",99.4%,219,220,0,0,0,
53,POLK,8002,POLK PRE-COLLEGIATE ACADEMY,"20,657",817,"21,474",96.2%,115,119,0,0,0,
53,POLK,8003,POLK STATE LAKELAND GATEWAY TO COLLEGE CHARTER HIGH SCHOOL,"39,553",819,"40,372",98.0%,220,224,0,0,0,
53,POLK,8004,NEW BEGINNINGS HIGH SCHOOL,"140,411","8,336","148,747",94.4%,780,826,0,0,0,
53,POLK,8005,MAGNOLIA MONTESSORI ACADEMY,"16,987",789,"17,776",95.6%,94,99,0,0,0,
53,POLK,8008,LANGUAGE & LITERACY ACADEMY FOR LEARNING,"29,441","4,771","34,212",86.1%,164,190,0,0,0,
53,POLK,8031,ACHIEVEMENT ACADEMY,"23,762","4,003","27,765",85.6%,132,154,0,0,0,
53,POLK,8121,HARTRIDGE ACADEMY,"36,992","1,584","38,576",95.9%,206,214,0,0,0,
53,POLK,8131,POLK STATE COLLEGE COLLEGIATE HIGH SCHOOL,"56,953",259,"57,212",99.5%,316,318,0,0,0,
53,POLK,8133,CHAIN OF LAKES COLLEGIATE HIGH,"54,032",908,"54,940",98.3%,300,305,0,0,0,
53,POLK,8140,LAKELAND MONTESSORI MIDDLE SCHOOL,"10,700",52,"10,752",99.5%,59,60,0,0,0,
53,POLK,8141,LAKELAND MONTESSORI SCHOOL HOUSE,"19,912",836,"20,748",96.0%,111,115,0,0,0,
53,POLK,8142,BERKLEY ACCELERATED MIDDLE SCHOOL,"81,117","4,109","85,226",95.2%,451,473,0,0,0,
53,POLK,8143,VICTORY RIDGE ACADEMY,"39,782","5,421","45,203",88.0%,221,251,0,0,0,
53,POLK,8171,CYPRESS JUNCTION MONTESSORI,"33,719",279,"33,998",99.2%,187,189,0,0,0,
53,POLK,8181,DISCOVERY HIGH SCHOOL,"113,167","8,269","121,436",93.2%,629,675,0,0,0,
53,POLK,9002,TRANSITION SCHOOL,"6,349",909,"7,258",87.5%,35,40,0,0,0,
53,POLK,9003,HOSPITAL HOMEBOUND,"21,268","2,798","24,066",88.4%,118,134,0,0,0,
53,POLK,9205,RIDGE TEEN PARENT PROGRAM,"1,994",353,"2,347",85.0%,11,13,0,0,0,
53,POLK,9207,POLK HALFWAY HOUSE,"3,887",19,"3,906",99.5%,22,22,376,9,385,97.7%
53,POLK,9221,NEW HORIZONS,"2,415",14,"2,429",99.4%,13,13,0,0,0,
53,POLK,9224,HIGHLANDS YOUTH ACADEMY,"12,474",341,"12,815",97.3%,69,71,732,0,732,100.0%
53,POLK,9225,PACE CENTER FOR GIRLS,"9,179","1,906","11,085",82.8%,51,62,621,339,960,64.7%
