DISTRICT #,DISTRICT NAME,SCHOOL #,SCHOOL NAME,DAYS PRESENT,DAYS ABSENT,TOTAL DAYS,% PRESENT,AVERAGE DAILY ATTENDANCE,AVERAGE DAILY MEMBERSHIP,SUMMER DAYS PRESENT ,SUMMER DAYS ABSENT ,TOTAL SUMMER DAYS ,% SUMMER DAYS PRESENT
06,BROWARD,0321,WALKER ELEMENTARY SCHOOL (MAGNET),"135,290","10,921","146,211",92.5%,752,812,0,0,0,
06,BROWARD,0331,COLLINS ELEMENTARY SCHOOL,"62,460","4,553","67,013",93.2%,347,372,0,0,0,
06,BROWARD,0341,BETHUNE MARY M ELEMENTARY SCHOOL,"74,535","4,572","79,107",94.2%,414,439,0,0,0,
06,BROWARD,0343,ATTUCKS MIDDLE SCHOOL,"136,578","6,825","143,403",95.2%,759,797,0,0,0,
06,BROWARD,0361,BLANCHE ELY HIGH SCHOOL,"329,036","28,427","357,463",92.0%,"1,828","1,986",134,0,134,100.0%
06,BROWARD,0371,DILLARD  6-12,"358,385","37,882","396,267",90.4%,"1,991","2,201",0,0,0,
06,BROWARD,0391,DEERFIELD PARK ELEMENTARY SCHOOL,"106,495","6,248","112,743",94.5%,592,626,0,0,0,
06,BROWARD,0403,HALLANDALE HIGH SCHOOL,"197,494","19,082","216,576",91.2%,"1,097","1,203",492,0,492,100.0%
06,BROWARD,0405,LANIER-JAMES EDUCATION CENTER,"17,742","4,503","22,245",79.8%,99,124,0,0,0,
06,BROWARD,0452,WHIDDON RODGERS EDUCATION CENTER,"122,524","44,104","166,628",73.5%,681,926,310,0,310,100.0%
06,BROWARD,0461,OAKRIDGE ELEMENTARY SCHOOL,"88,854","7,017","95,871",92.7%,494,533,0,0,0,
06,BROWARD,0471,OLSEN MIDDLE SCHOOL,"111,611","7,611","119,222",93.6%,620,662,0,0,0,
06,BROWARD,0481,MCNICOL MIDDLE SCHOOL,"129,898","4,097","133,995",96.9%,722,744,0,0,0,
06,BROWARD,0491,HARBORDALE ELEMENTARY SCHOOL,"84,774","4,184","88,958",95.3%,471,494,0,0,0,
06,BROWARD,0501,BROWARD ESTATES ELEMENTARY SCHOOL,"64,150","4,191","68,341",93.9%,356,380,0,0,0,
06,BROWARD,0511,WATKINS ELEMENTARY SCHOOL,"90,176","6,228","96,404",93.5%,501,536,0,0,0,
06,BROWARD,0521,NORTH ANDREWS GARDENS ELEMENTARY SCHOOL,"148,160","8,136","156,296",94.8%,823,868,0,0,0,
06,BROWARD,0531,MIRAMAR ELEMENTARY SCHOOL,"103,942","6,087","110,029",94.5%,577,611,0,0,0,
06,BROWARD,0551,PLANTATION MIDDLE SCHOOL,"119,820","6,203","126,023",95.1%,666,700,0,0,0,
06,BROWARD,0561,NORCREST ELEMENTARY SCHOOL,"131,155","7,471","138,626",94.6%,729,770,0,0,0,
06,BROWARD,0571,TEDDER ELEMENTARY SCHOOL,"100,517","6,019","106,536",94.4%,558,592,0,0,0,
06,BROWARD,0581,MARGATE MIDDLE SCHOOL,"210,103","9,226","219,329",95.8%,"1,167","1,218",0,0,0,
06,BROWARD,0601,SEAGULL SCHOOL,"27,976","15,152","43,128",64.9%,155,240,6,0,6,100.0%
06,BROWARD,0611,SUNLAND PARK ACADEMY,"71,724","6,758","78,482",91.4%,398,436,0,0,0,
06,BROWARD,0621,LARKDALE ELEMENTARY SCHOOL,"69,625","5,488","75,113",92.7%,387,417,"6,392",772,"7,164",89.2%
06,BROWARD,0631,WESTWOOD HEIGHTS ELEMENTARY SCHOOL,"123,588","9,217","132,805",93.1%,687,738,0,0,0,
06,BROWARD,0641,BAYVIEW ELEMENTARY SCHOOL,"100,343","4,360","104,703",95.8%,557,582,0,0,0,
06,BROWARD,0653,PINE RIDGE ALTERNATIVE CENTER,"11,985","1,392","13,377",89.6%,67,74,0,0,0,
06,BROWARD,0691,STIRLING ELEMENTARY SCHOOL,"101,967","6,068","108,035",94.4%,566,600,0,0,0,
06,BROWARD,0701,PARKWAY MIDDLE SCHOOL,"246,720","11,344","258,064",95.6%,"1,371","1,434",0,0,0,
06,BROWARD,0711,ORANGE BROOK ELEMENTARY SCHOOL,"119,460","7,230","126,690",94.3%,664,704,0,0,0,
06,BROWARD,0721,DRIFTWOOD ELEMENTARY SCHOOL,"109,859","6,438","116,297",94.5%,610,646,0,0,0,
06,BROWARD,0731,TROPICAL ELEMENTARY SCHOOL,"170,761","9,056","179,817",95.0%,949,999,0,0,0,
06,BROWARD,0751,POMPANO BEACH ELEMENTARY SCHOOL,"84,046","5,742","89,788",93.6%,467,499,0,0,0,
06,BROWARD,0761,MEADOWBROOK ELEMENTARY SCHOOL,"121,396","8,789","130,185",93.2%,674,723,0,0,0,
06,BROWARD,0811,BROADVIEW ELEMENTARY SCHOOL,"137,369","8,985","146,354",93.9%,763,813,0,0,0,
06,BROWARD,0831,LAKE FOREST ELEMENTARY SCHOOL,"124,481","7,572","132,053",94.3%,692,734,0,0,0,
06,BROWARD,0841,MCNAB ELEMENTARY SCHOOL,"105,937","6,608","112,545",94.1%,589,625,0,0,0,
06,BROWARD,0851,FLORANADA ELEMENTARY SCHOOL,"127,997","6,255","134,252",95.3%,711,746,0,0,0,
06,BROWARD,0861,DRIFTWOOD MIDDLE SCHOOL,"235,032","13,295","248,327",94.6%,"1,306","1,380",0,0,0,
06,BROWARD,0871,BRIGHT HORIZONS,"24,739","3,842","28,581",86.6%,137,159,"2,825",266,"3,091",91.4%
06,BROWARD,0881,NEW RIVER MIDDLE SCHOOL,"269,486","16,051","285,537",94.4%,"1,497","1,586",0,0,0,
06,BROWARD,0891,SANDERS PARK ELEMENTARY SCHOOL,"85,680","7,698","93,378",91.8%,476,519,"8,012","2,197","10,209",78.5%
06,BROWARD,0901,CRESTHAVEN ELEMENTARY SCHOOL,"99,676","7,276","106,952",93.2%,554,594,0,0,0,
06,BROWARD,0911,DEERFIELD BEACH MIDDLE SCHOOL,"204,432","9,813","214,245",95.4%,"1,136","1,190",0,0,0,
06,BROWARD,0921,STEPHEN FOSTER ELEMENTARY SCHOOL,"117,269","7,699","124,968",93.8%,651,694,0,0,0,
06,BROWARD,0931,PETERS ELEMENTARY SCHOOL,"122,740","8,494","131,234",93.5%,682,729,0,0,0,
06,BROWARD,0941,PLANTATION ELEMENTARY SCHOOL,"109,055","7,973","117,028",93.2%,606,650,0,0,0,
06,BROWARD,0951,FORT LAUDERDALE HIGH SCHOOL,"351,791","27,389","379,180",92.8%,"1,954","2,107",542,0,542,100.0%
06,BROWARD,0971,BOULEVARD HEIGHTS ELEMENTARY,"114,670","7,378","122,048",94.0%,637,678,0,0,0,
06,BROWARD,0991,WINGATE OAKS CENTER,"17,803","2,120","19,923",89.4%,99,111,"1,261",92,"1,353",93.2%
06,BROWARD,1021,THE QUEST CENTER,"21,902","1,427","23,329",93.9%,122,130,"2,050",159,"2,209",92.8%
06,BROWARD,1051,SHERIDAN TECHNICAL COLLEGE,"99,313","5,075","104,388",95.1%,552,580,83,0,83,100.0%
06,BROWARD,1071,WILLIAM DANDY MIDDLE SCHOOL,"170,472","3,367","173,839",98.1%,947,966,0,0,0,
06,BROWARD,1091,LLOYD ESTATES ELEMENTARY SCHOOL,"93,374","5,375","98,749",94.6%,519,549,0,0,0,
06,BROWARD,1131,PALMVIEW ELEMENTARY SCHOOL,"105,556","6,241","111,797",94.4%,586,621,0,0,0,
06,BROWARD,1151,CORAL SPRINGS HIGH SCHOOL,"458,107","37,713","495,820",92.4%,"2,545","2,755",14,0,14,100.0%
06,BROWARD,1161,MARGATE ELEMENTARY SCHOOL,"174,433","11,280","185,713",93.9%,969,"1,032","11,092","2,322","13,414",82.7%
06,BROWARD,1171,SUNSHINE ELEMENTARY SCHOOL,"101,520","5,046","106,566",95.3%,564,592,13,0,13,100.0%
06,BROWARD,1191,NORTH FORK ELEMENTARY SCHOOL,"74,575","5,569","80,144",93.1%,414,445,0,0,0,
06,BROWARD,1211,COOPER CITY ELEMENTARY SCHOOL,"128,332","5,767","134,099",95.7%,713,745,"10,067",145,"10,212",98.6%
06,BROWARD,1221,PEMBROKE PINES ELEMENTARY SCHOOL,"101,979","4,733","106,712",95.6%,567,593,0,0,0,
06,BROWARD,1241,NORTHEAST HIGH SCHOOL,"276,033","14,721","290,754",94.9%,"1,534","1,615",473,0,473,100.0%
06,BROWARD,1251,PLANTATION PARK ELEMENTARY,"93,115","4,239","97,354",95.6%,517,541,0,0,0,
06,BROWARD,1271,NOVA DWIGHT D. EISENHOWER ELEM,"131,522","6,151","137,673",95.5%,731,765,0,0,0,
06,BROWARD,1281,NOVA HIGH SCHOOL,"375,144","19,801","394,945",95.0%,"2,084","2,194",53,0,53,100.0%
06,BROWARD,1282,NOVA BLANCHE FORMAN ELEMENTARY,"131,642","5,858","137,500",95.7%,731,764,0,0,0,
06,BROWARD,1291,WILLIAM T. MCFATTER TECHNICAL COLLEGE,"106,202","5,047","111,249",95.5%,590,618,0,0,0,
06,BROWARD,1311,NOVA MIDDLE SCHOOL,"220,624","10,001","230,625",95.7%,"1,226","1,281",0,0,0,
06,BROWARD,1321,SHERIDAN PARK ELEMENTARY SCHOOL,"117,989","6,343","124,332",94.9%,655,691,0,0,0,
06,BROWARD,1381,LAUDERHILL PAUL TURNER ELEMENTARY SCHOOL,"116,013","8,000","124,013",93.5%,645,689,0,0,0,
06,BROWARD,1391,LAUDERHILL 6-12,"148,184","9,148","157,332",94.2%,823,874,0,0,0,
06,BROWARD,1421,COCONUT CREEK ELEMENTARY SCHOOL,"108,589","5,543","114,132",95.1%,603,634,0,0,0,
06,BROWARD,1451,PLANTATION HIGH SCHOOL,"326,004","30,543","356,547",91.4%,"1,811","1,981",66,0,66,100.0%
06,BROWARD,1461,CASTLE HILL ELEMENTARY SCHOOL,"104,000","6,995","110,995",93.7%,578,617,0,0,0,
06,BROWARD,1611,DR. MARTIN LUTHER KING MONTESSORI ACADEMY,"82,633","5,715","88,348",93.5%,459,491,0,0,0,
06,BROWARD,1621,VILLAGE ELEMENTARY SCHOOL,"119,116","6,679","125,795",94.7%,662,699,0,0,0,
06,BROWARD,1631,ANNABEL C. PERRY PK-8,"124,508","7,112","131,620",94.6%,692,731,0,0,0,
06,BROWARD,1641,FAIRWAY ELEMENTARY SCHOOL,"120,734","8,608","129,342",93.3%,671,719,0,0,0,
06,BROWARD,1661,HOLLYWOOD HILLS HIGH SCHOOL,"304,380","30,933","335,313",90.8%,"1,691","1,863",2,0,2,100.0%
06,BROWARD,1671,ROBERT C. MARKHAM ELEMENTARY,"102,679","6,617","109,296",93.9%,570,607,0,0,0,
06,BROWARD,1681,COCONUT CREEK HIGH SCHOOL,"241,231","25,866","267,097",90.3%,"1,340","1,484","5,774",585,"6,359",90.8%
06,BROWARD,1701,LAUDERDALE LAKES MIDDLE SCHOOL,"150,152","6,813","156,965",95.7%,834,872,0,0,0,
06,BROWARD,1711,DEERFIELD BEACH HIGH SCHOOL,"395,412","36,787","432,199",91.5%,"2,197","2,401",0,0,0,
06,BROWARD,1741,BOYD H. ANDERSON HIGH SCHOOL,"291,515","10,366","301,881",96.6%,"1,620","1,677",33,0,33,100.0%
06,BROWARD,1751,MIRAMAR HIGH SCHOOL,"390,451","35,800","426,251",91.6%,"2,169","2,368",346,0,346,100.0%
06,BROWARD,1752,WHISPERING PINES EXCEPTIONAL EDUCATION CENTER,"35,191","4,386","39,577",88.9%,196,220,"1,682",208,"1,890",89.0%
06,BROWARD,1761,HOLLYWOOD PARK ELEMENTARY SCHOOL,"84,522","6,360","90,882",93.0%,470,505,"12,062",487,"12,549",96.1%
06,BROWARD,1781,CYPRESS ELEMENTARY SCHOOL,"129,119","10,303","139,422",92.6%,717,775,0,0,0,
06,BROWARD,1791,APOLLO MIDDLE SCHOOL,"237,032","13,052","250,084",94.8%,"1,317","1,389",0,0,0,
06,BROWARD,1811,SHERIDAN HILLS ELEMENTARY SCHOOL,"89,363","5,524","94,887",94.2%,496,527,"6,785","1,857","8,642",78.5%
06,BROWARD,1831,ORIOLE ELEMENTARY SCHOOL,"112,094","8,405","120,499",93.0%,623,669,0,0,0,
06,BROWARD,1841,MIRROR LAKE ELEMENTARY SCHOOL,"116,087","7,362","123,449",94.0%,645,686,0,0,0,
06,BROWARD,1851,ROYAL PALM ELEMENTARY SCHOOL,"141,607","9,807","151,414",93.5%,787,841,"12,933","3,138","16,071",80.5%
06,BROWARD,1871,CRYSTAL LAKE MIDDLE SCHOOL,"243,036","11,131","254,167",95.6%,"1,350","1,412",0,0,0,
06,BROWARD,1881,PINES MIDDLE SCHOOL,"145,111","6,968","152,079",95.4%,806,845,0,0,0,
06,BROWARD,1891,SEMINOLE MIDDLE SCHOOL,"191,321","10,566","201,887",94.8%,"1,063","1,122",0,0,0,
06,BROWARD,1901,PIPER HIGH SCHOOL,"388,138","31,346","419,484",92.5%,"2,156","2,330",0,0,0,
06,BROWARD,1931,COOPER CITY HIGH SCHOOL,"388,804","29,375","418,179",93.0%,"2,160","2,323",1,0,1,100.0%
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,"101,806","6,366","108,172",94.1%,566,601,"9,079","1,922","11,001",82.5%
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOOL,"107,364","6,126","113,490",94.6%,596,631,0,0,0,
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,"102,749","5,439","108,188",95.0%,571,601,0,0,0,
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,"115,343","5,078","120,421",95.8%,641,669,0,0,0,
06,BROWARD,2021,GLADES MIDDLE SCHOOL,"240,301","8,618","248,919",96.5%,"1,335","1,383",0,0,0,
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,"135,161","6,025","141,186",95.7%,751,784,0,0,0,
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,"174,823","7,760","182,583",95.7%,971,"1,014",0,0,0,
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHOOL,"94,166","6,681","100,847",93.4%,523,560,0,0,0,
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOOL,"152,568","8,480","161,048",94.7%,848,895,0,0,0,
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,"18,458","4,113","22,571",81.8%,103,125,38,0,38,100.0%
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,"119,041","4,433","123,474",96.4%,661,686,27,0,27,100.0%
06,BROWARD,2231,NORTH LAUDERDALE PK-8,"131,991","8,507","140,498",93.9%,733,781,0,0,0,
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,"368,006","29,928","397,934",92.5%,"2,044","2,211",365,0,365,100.0%
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHOOL,"120,886","7,558","128,444",94.1%,672,714,0,0,0,
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,"99,675","6,321","105,996",94.0%,554,589,0,0,0,
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,"114,359","7,229","121,588",94.1%,635,675,0,0,0,
06,BROWARD,2551,CORAL SPRINGS PK-8,"115,333","8,263","123,596",93.3%,641,687,0,0,0,
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,"197,587","10,921","208,508",94.8%,"1,098","1,158",0,0,0,
06,BROWARD,2571,PIONEER MIDDLE SCHOOL,"256,718","12,739","269,457",95.3%,"1,426","1,497","4,111","1,390","5,501",74.7%
06,BROWARD,2611,BAIR MIDDLE SCHOOL,"153,586","9,334","162,920",94.3%,853,905,0,0,0,
06,BROWARD,2621,TAMARAC ELEMENTARY SCHOOL,"124,093","8,177","132,270",93.8%,689,735,0,0,0,
06,BROWARD,2631,FOREST HILLS ELEMENTARY SCHOOL,"123,918","7,546","131,464",94.3%,688,730,0,0,0,
06,BROWARD,2641,CENTRAL PARK ELEMENTARY SCHOOL,"149,847","6,728","156,575",95.7%,832,870,0,0,0,
06,BROWARD,2661,PEMBROKE LAKES ELEMENTARY SCHOOL,"123,959","5,649","129,608",95.6%,689,720,0,0,0,
06,BROWARD,2671,NOB HILL ELEMENTARY SCHOOL,"110,203","6,785","116,988",94.2%,612,650,"11,843","1,423","13,266",89.3%
06,BROWARD,2681,WESTCHESTER ELEMENTARY SCHOOL,"192,691","11,148","203,839",94.5%,"1,071","1,132",0,0,0,
06,BROWARD,2691,MORROW ELEMENTARY SCHOOL,"89,373","6,326","95,699",93.4%,497,532,0,0,0,
06,BROWARD,2711,RAMBLEWOOD MIDDLE SCHOOL,"211,253","12,033","223,286",94.6%,"1,174","1,240",0,0,0,
06,BROWARD,2721,RAMBLEWOOD ELEMENTARY SCHOOL,"149,182","9,677","158,859",93.9%,829,883,0,0,0,
06,BROWARD,2741,MAPLEWOOD ELEMENTARY SCHOOL,"128,302","8,079","136,381",94.1%,713,758,0,0,0,
06,BROWARD,2751,J. P. TARAVELLA HIGH SCHOOL,"511,139","36,370","547,509",93.4%,"2,840","3,042",97,0,97,100.0%
06,BROWARD,2801,DAVIE ELEMENTARY SCHOOL,"126,265","8,493","134,758",93.7%,701,749,0,0,0,
06,BROWARD,2811,PINEWOOD ELEMENTARY SCHOOL,"100,446","6,576","107,022",93.9%,558,595,0,0,0,
06,BROWARD,2831,WESTERN HIGH SCHOOL,"554,740","44,050","598,790",92.6%,"3,082","3,327",227,0,227,100.0%
06,BROWARD,2851,GRIFFIN ELEMENTARY SCHOOL,"108,962","5,641","114,603",95.1%,605,637,0,0,0,
06,BROWARD,2861,PINES LAKES ELEMENTARY SCHOOL,"92,189","6,527","98,716",93.4%,512,548,0,0,0,
06,BROWARD,2871,SEA CASTLE ELEMENTARY SCHOOL,"144,972","7,267","152,239",95.2%,805,846,0,0,0,
06,BROWARD,2881,WELLEBY ELEMENTARY SCHOOL,"136,673","7,385","144,058",94.9%,759,800,0,0,0,
06,BROWARD,2891,RIVERGLADES ELEMENTARY SCHOOL,"184,209","9,961","194,170",94.9%,"1,023","1,079",0,0,0,
06,BROWARD,2942,EVERGLADES ELEMENTARY SCHOOL,"177,515","8,452","185,967",95.5%,986,"1,033","6,719","1,614","8,333",80.6%
06,BROWARD,2961,CHAPEL TRAIL ELEMENTARY SCHOOL,"140,049","6,859","146,908",95.3%,778,816,0,0,0,
06,BROWARD,2971,SILVER LAKES MIDDLE SCHOOL,"119,689","6,876","126,565",94.6%,665,703,0,0,0,
06,BROWARD,2981,COUNTRY ISLES ELEMENTARY SCHOOL,"169,464","9,437","178,901",94.7%,941,994,0,0,0,
06,BROWARD,3001,WALTER C. YOUNG MIDDLE SCHOOL,"192,120","8,508","200,628",95.8%,"1,067","1,115",0,0,0,
06,BROWARD,3011,MARJORY STONEMAN DOUGLAS HIGH SCHOOL,"551,409","38,554","589,963",93.5%,"3,063","3,278",55,0,55,100.0%
06,BROWARD,3031,RIVERSIDE ELEMENTARY SCHOOL,"126,572","5,664","132,236",95.7%,703,735,0,0,0,
06,BROWARD,3041,CORAL PARK ELEMENTARY SCHOOL,"103,721","5,856","109,577",94.7%,576,609,0,0,0,
06,BROWARD,3051,FOREST GLEN MIDDLE SCHOOL,"231,463","11,699","243,162",95.2%,"1,286","1,351",0,0,0,
06,BROWARD,3061,SANDPIPER ELEMENTARY SCHOOL,"106,887","6,027","112,914",94.7%,594,627,0,0,0,
06,BROWARD,3081,SILVER RIDGE ELEMENTARY SCHOOL,"175,707","9,084","184,791",95.1%,976,"1,027",0,0,0,
06,BROWARD,3091,WINSTON PARK ELEMENTARY SCHOOL,"206,255","10,740","216,995",95.1%,"1,146","1,206",0,0,0,
06,BROWARD,3101,LYONS CREEK MIDDLE SCHOOL,"336,309","16,091","352,400",95.4%,"1,868","1,958",0,0,0,
06,BROWARD,3111,COUNTRY HILLS ELEMENTARY SCHOOL,"146,486","7,591","154,077",95.1%,814,856,0,0,0,
06,BROWARD,3121,QUIET WATERS ELEMENTARY SCHOOL,"204,660","12,821","217,481",94.1%,"1,137","1,208",0,0,0,
06,BROWARD,3131,HAWKES BLUFF ELEMENTARY SCHOOL,"149,298","7,264","156,562",95.4%,829,870,0,0,0,
06,BROWARD,3151,TEQUESTA TRACE MIDDLE SCHOOL,"278,314","15,407","293,721",94.8%,"1,546","1,632",0,0,0,
06,BROWARD,3171,PARK SPRINGS ELEMENTARY SCHOOL,"172,498","9,653","182,151",94.7%,958,"1,012","8,173","1,364","9,537",85.7%
06,BROWARD,3181,INDIAN TRACE ELEMENTARY SCHOOL,"124,338","6,464","130,802",95.1%,691,727,0,0,0,
06,BROWARD,3191,EMBASSY CREEK ELEMENTARY SCHOOL,"214,849","8,782","223,631",96.1%,"1,194","1,242",0,0,0,
06,BROWARD,3221,CHARLES DREW ELEMENTARY SCHOOL,"88,832","7,706","96,538",92.0%,494,536,0,0,0,
06,BROWARD,3222,CROSS CREEK SCHOOL,"22,163","4,200","26,363",84.1%,123,146,"2,114",308,"2,422",87.3%
06,BROWARD,3291,THURGOOD MARSHALL ELEMENTARY SCHOOL,"73,674","4,691","78,365",94.0%,409,435,0,0,0,
06,BROWARD,3301,ENDEAVOUR PRIMARY LEARNING CENTER,"67,586","4,840","72,426",93.3%,375,402,0,0,0,
06,BROWARD,3311,PALM COVE ELEMENTARY SCHOOL,"101,149","6,329","107,478",94.1%,562,597,0,0,0,
06,BROWARD,3321,VIRGINIA SHUMAN YOUNG ELEMENTARY SCHOOL,"116,626","5,612","122,238",95.4%,648,679,0,0,0,
06,BROWARD,3331,SILVER TRAIL MIDDLE SCHOOL,"252,867","11,915","264,782",95.5%,"1,405","1,471",0,0,0,
06,BROWARD,3371,SILVER LAKES ELEMENTARY SCHOOL,"71,831","3,803","75,634",95.0%,399,420,0,0,0,
06,BROWARD,3391,CHARLES W FLANAGAN HIGH SCHOOL,"421,386","32,473","453,859",92.8%,"2,341","2,521",13,0,13,100.0%
06,BROWARD,3401,SAWGRASS ELEMENTARY SCHOOL,"178,169","9,740","187,909",94.8%,990,"1,044",0,0,0,
06,BROWARD,3431,SAWGRASS SPRINGS MIDDLE SCHOOL,"205,326","11,147","216,473",94.9%,"1,141","1,203",0,0,0,
06,BROWARD,3441,EAGLE RIDGE ELEMENTARY SCHOOL,"148,393","7,038","155,431",95.5%,824,864,0,0,0,
06,BROWARD,3461,EAGLE POINT ELEMENTARY SCHOOL,"244,453","10,643","255,096",95.8%,"1,358","1,417",0,0,0,
06,BROWARD,3471,INDIAN RIDGE MIDDLE SCHOOL,"338,449","19,088","357,537",94.7%,"1,880","1,986","4,054","1,322","5,376",75.4%
06,BROWARD,3481,TRADEWINDS ELEMENTARY SCHOOL,"213,995","11,736","225,731",94.8%,"1,189","1,254",0,0,0,
06,BROWARD,3491,SILVER PALMS ELEMENTARY SCHOOL,"108,664","5,142","113,806",95.5%,604,632,"8,871","1,565","10,436",85.0%
06,BROWARD,3531,FOX TRAIL ELEMENTARY SCHOOL,"209,490","10,247","219,737",95.3%,"1,164","1,221",0,0,0,
06,BROWARD,3541,MONARCH HIGH SCHOOL,"393,753","36,772","430,525",91.5%,"2,188","2,392",0,0,0,
06,BROWARD,3571,PANTHER RUN ELEMENTARY SCHOOL,"95,359","4,762","100,121",95.2%,530,556,0,0,0,
06,BROWARD,3581,SILVER SHORES ELEMENTARY SCHOOL,"75,752","4,278","80,030",94.7%,421,445,0,0,0,
06,BROWARD,3591,LAKESIDE ELEMENTARY SCHOOL,"130,456","6,665","137,121",95.1%,725,762,0,0,0,
06,BROWARD,3622,FALCON COVE MIDDLE SCHOOL,"398,803","18,173","416,976",95.6%,"2,216","2,317",0,0,0,
06,BROWARD,3623,CYPRESS BAY HIGH SCHOOL,"825,284","37,503","862,787",95.7%,"4,585","4,793",595,0,595,100.0%
06,BROWARD,3631,PARKSIDE ELEMENTARY SCHOOL,"147,879","7,865","155,744",95.0%,822,865,0,0,0,
06,BROWARD,3642,GATOR RUN ELEMENTARY SCHOOL,"229,674","11,061","240,735",95.4%,"1,276","1,337",0,0,0,
06,BROWARD,3651,DAVE THOMAS EDUCATION CENTER WEST,"98,330","27,529","125,859",78.1%,546,699,32,0,32,100.0%
06,BROWARD,3661,SUNSET LAKES ELEMENTARY SCHOOL,"154,957","6,834","161,791",95.8%,861,899,0,0,0,
