SCHOOLS,ENROLLMENT,ABSENT,% ABSENT,% PRESENT,SCHOOL_TYPE,WEEK
NORTH TAMPA EPIC3 CENTER,112,3,0.0268,0.9732,ALTERNATIVE,4/17/2020
WILLIS PETERS EXCEPTIONAL CTR,75,2,0.0267,0.9733,ALTERNATIVE,4/17/2020
MULLER ELEMENTARY MAGNET,421,11,0.0261,0.9739,ELEMENTARY,4/17/2020
KNIGHTS ELEMENTARY,780,20,0.0256,0.9744,ELEMENTARY,4/17/2020
GRAHAM ELEMENTARY,359,9,0.0251,0.9749,ELEMENTARY,4/17/2020
SHIELDS MIDDLE SCHOOL,1841,46,0.025,0.975,MIDDLE,4/17/2020
TOWN AND COUNTRY ELEMENTARY,444,11,0.0248,0.9752,ELEMENTARY,4/17/2020
BUCHANAN MIDDLE SCHOOL,752,18,0.0239,0.9761,MIDDLE,4/17/2020
BAY CREST ELEMENTARY,607,14,0.0231,0.9769,ELEMENTARY,4/17/2020
BUCKHORN ELEMENTARY,781,18,0.023,0.977,ELEMENTARY,4/17/2020
DOWDELL MIDDLE SCHOOL,616,14,0.0227,0.9773,MIDDLE,4/17/2020
CRESTWOOD ELEMENTARY,875,19,0.0217,0.9783,ELEMENTARY,4/17/2020
COLSON ELEMENTARY,697,15,0.0215,0.9785,ELEMENTARY,4/17/2020
FOLSOM ELEMENTARY,470,10,0.0213,0.9787,ELEMENTARY,4/17/2020
GAITHER HIGH SCHOOL,2054,43,0.0209,0.9791,HIGH,4/17/2020
RUSKIN ELEMENTARY,780,16,0.0205,0.9795,ELEMENTARY,4/17/2020
ROBINSON ELEMENTARY,697,14,0.0201,0.9799,ELEMENTARY,4/17/2020
VILLAGE OF EXCELLENCE MS,102,2,0.0196,0.9804,CHARTER,4/17/2020
TAMPA PALMS ELEMENTARY,884,17,0.0192,0.9808,ELEMENTARY,4/17/2020
OAK GROVE ELEMENTARY,842,16,0.019,0.981,ELEMENTARY,4/17/2020
AVANT GARDE ACADEMY,373,7,0.0188,0.9812,CHARTER,4/17/2020
LOWRY ELEMENTARY,925,16,0.0173,0.9827,ELEMENTARY,4/17/2020
PLANT CITY HIGH SCHOOL,2294,38,0.0166,0.9834,HIGH,4/17/2020
WATERS CAREER CENTER,121,2,0.0165,0.9835,ALTERNATIVE,4/17/2020
CHIARAMONTE ELEMENTARY,371,6,0.0162,0.9838,ELEMENTARY,4/17/2020
CHILES ELEMENTARY,949,15,0.0158,0.9842,ELEMENTARY,4/17/2020
ANDERSON ELEMENTARY,381,6,0.0157,0.9843,ELEMENTARY,4/17/2020
LAKE MAGDALENE ELEMENTARY,785,12,0.0153,0.9847,ELEMENTARY,4/17/2020
MADISON MIDDLE SCHOOL,683,10,0.0146,0.9854,MIDDLE,4/17/2020
CANNELLA ELEMENTARY,645,9,0.014,0.986,ELEMENTARY,4/17/2020
BELLAMY ELEMENTARY,606,8,0.0132,0.9868,ELEMENTARY,4/17/2020
CITRUS PARK ELEMENTARY,610,8,0.0131,0.9869,ELEMENTARY,4/17/2020
CORR ELEMENTARY,761,10,0.0131,0.9869,ELEMENTARY,4/17/2020
CORK ELEMENTARY,691,9,0.013,0.987,ELEMENTARY,4/17/2020
MULRENNAN MIDDLE SCHOOL,1359,17,0.0125,0.9875,MIDDLE,4/17/2020
CLAYWELL ELEMENTARY,730,9,0.0123,0.9877,ELEMENTARY,4/17/2020
GIUNTA MIDDLE SCHOOL,814,10,0.0123,0.9877,MIDDLE,4/17/2020
MANISCALCO K-8 SCHOOL,737,9,0.0122,0.9878,ALTERNATIVE,4/17/2020
BROOKER ELEMENTARY,916,11,0.012,0.988,ELEMENTARY,4/17/2020
